Ativo;B referência;Spread Over (%);Spread (bps)
ELET16;B35;-0,17;-6,2
ELET23;B30;-0,12;5,03
ELET42;B28;-0,19;-0,09
ELPLA5;B30;0,52;-1,95
ELPLA7;B30;0,5;-3,34
ELPLB4;B26;0,12;3,22
ELTN15;B30;-0,08;2,16
ENAT11;B28;1,21;1,15
ENAT12;B28;1,29;0,67
ENAT13;B30;1,55;3,5
ENAT14;B30;1,65;8,87
ENAT24;B32;;
ENAT33;B32;1,65;1,17
ENERA1;B30;0,05;10,6
ENERB4;B35;0,13;1,31
ENEV13;B26;-0,38;20,13
ENEV15;B29;0,14;6,78
ENEV16;B29;0,27;1,5
ENEV18;B30;0,2;1,99
ENEV19;B30;0,13;-2,02
ENEV26;B35;0,4;-5,52
ENEV28;B35;0,24;8,29
ENEV29;B35;0,44;4,17
ENEV32;B28;0,02;1,22
ENEV39;B40;0,49;-2,0
ENEVA0;B33;;
ENEVB0;B40;0,18;0,75
ENGI39;B27;0,03;5,78
ENGIA1;B26;-0,36;-8,17
ENGIA4;B27;-0,03;10,99
ENGIA5;B30;0,07;0,98
ENGIA6;B28;;
ENGIA9;B30;;
ENGIB0;B30;0,09;3,78
ENGIB2;B35;0,11;0,66
ENGIB4;B29;0,12;5,19
ENGIB6;B30;0,13;2,79
ENGIB9;B32;0,13;0,08
ENGIC0;B40;0,12;-2,98
ENJG21;B26;0,01;12,11
ENMI21;B26;-0,3;10,68
ENMTA3;B27;-0,21;8,59
ENMTA4;B30;0,06;1,5
ENMTA5;B28;0,08;2,9
ENMTA7;B30;0,08;3,56
ENMTB3;B29;0,13;4,07
ENMTB5;B30;;
ENSEA1;B27;-0,1;0,22
ENTV12;B29;0,46;-3,44
EQMAA0;B30;0,13;0,99
EQMAA2;B35;0,39;-3,62
EQPA18;B35;0,25;-0,85
EQSP11;B29;0,29;8,16
EQSP21;B29;0,24;7,56
EQTC11;B35;0,36;0,93
EQTN11;B29;0,31;4,83
EQTR11;B33;0,45;-0,58
EQTR21;B33;0,45;0,47
EQTS11;B29;0,12;0,02
EQUA11;B30;0,12;3,77
ERDV17;B25;;
ERDV38;B26;1,02;4,29
ERDVA4;B30;0,29;2,78
ERDVB4;B33;;
ERDVC3;B32;;
ERDVC4;B35;;
ESAM14;B29;0,21;3,45
ESULA1;B25;;
ESULA6;B30;0,04;0,96
ETAP22;B25;;
ETBA12;B28;-0,05;2,66
ETEN11;B25;0,47;5,31
ETEN12;B27;-0,1;20,12
ETEN21;B27;0,02;-6,16
ETEN22;B30;0,09;8,95
ETEN31;B25;0,42;-1,13
ETSP12;B33;0,43;3,91
EUBE11;B29;0,22;3,93
EXTZ11;B27;-0,05;19,27
FBRI13;B32;0,46;-0,65
FGEN13;B26;;
FLCLA0;B25;;
FRAG14;B30;0,93;-0,76
FURN21;B28;-0,14;2,14
GASC15;B35;0,05;-1,35
GASC16;B35;0,09;1,01
GASC17;B35;0,07;0,23
GASC22;B30;0,01;6,37
GASC23;B33;0,05;2,03
GASC25;B40;0,17;-6,7
GASC26;B40;0,18;-2,52
GASC27;B35;0,16;1,57
GASP19;B30;-0,08;3,57
GASP29;B35;0,08;2,88
GASP34;B25;0,46;1,56
GBSP11;B35;1,01;3,3
GRRB24;B28;;
GSTS14;B30;0,54;0,78
GSTS24;B35;0,74;2,08
HARG11;B32;0,45;-1,95
HBSA11;B28;0,64;9,11
HBSA21;B30;0,71;11,56
HGLB23;B32;1,75;-0,77
HVSP11;B32;0,39;-0,7
HZTC14;B30;;
IBPB11;B33;0,32;10,89
IGSN15;B30;1,5;0,56
IRJS14;B35;;
IRJS15;B35;;
ITPO14;B32;0,51;4,7
IVIAA0;B33;0,69;0,26
JALL11;B28;0,17;2,42
JALL13;B30;0,35;2,51
JALL14;B30;0,27;-2,77
JALL15;B33;0,38;-0,78
JALL21;B30;0,28;2,08
JALL24;B32;0,53;9,9
JSMLB5;B30;;
JTEE11;B29;-0,07;3,53
JTEE12;B35;;
KLBNA5;B40;;
LCAMD1;B30;1,8;0,53
LCAMD3;B29;1,71;1,65
LGEN11;B27;-0,22;4,22
LORTA7;B27;-0,22;4,22
LTTE15;B32;;
MEZ511;-;;
MGSP12;B32;0,19;1,69
MNAU13;B25;;
MOVI18;B29;4,14;3,69
MOVI37;B30;;
MRSAA1;B33;-0,06;0,12
MRSAA2;B35;-0,03;1,14
MRSAB1;B35;0,01;-0,18
MRSAB2;B35;0,01;-0,22
MRSAC1;B35;0,03;-0,21
MRSAC2;B40;0,06;-1,29
MSGT12;B28;-0,05;1,61
MSGT13;B29;0,77;-10,24
MSGT23;B35;0,06;-0,57
MSGT33;B35;0,08;1,08
MTRJ19;B28;1,06;0,19
MVLV16;B28;;
NEOE16;B28;;
NEOE26;B29;;
NMCH11;B33;;
