Data,Tipo,Valor Futuro,Ativo,Dias,Dias Úteis,Taxa,VP
2029-03-16,Juros|Amortização,0.855799,CRI Bem Brasil,1459,994,0.09029999999999999,0.6085182615680829
2025-10-16,Juros|Amortização,3.76634,CRI Bem Brasil,212,149,0.09029999999999999,3.5786538939228554
2026-10-16,Juros|Amortização,2.696072,CRI Bem Brasil,577,397,0.09029999999999999,2.352781614800233
2025-09-16,Juros|Amortização,208.855357,CRI Bem Brasil,182,127,0.09029999999999999,199.95101863377909
2026-09-16,Juros|Amortização,207.785126,CRI Bem Brasil,547,376,0.09029999999999999,182.63895856690044
2027-09-16,Juros|Amortização,207.05796899999999,CRI Bem Brasil,912,624,0.09029999999999999,167.15557745997683
2029-04-17,Juros|Amortização,0.898683,CRI Bem Brasil,1491,1015,0.09029999999999999,0.634423896983631
2027-08-17,Juros|Amortização,2.824752,CRI Bem Brasil,882,603,0.09029999999999999,2.296878812331779
2029-07-17,Juros|Amortização,0.898683,CRI Bem Brasil,1582,1078,0.09029999999999999,0.6208590703453335
2025-06-17,Juros|Amortização,4.707927,CRI Bem Brasil,91,63,0.09029999999999999,4.607265259664567
2026-03-17,Juros|Amortização,3.080262,CRI Bem Brasil,364,250,0.09029999999999999,2.827089973224695
2026-11-17,Juros|Amortização,2.696072,CRI Bem Brasil,609,418,0.09029999999999999,2.335892130148945
2027-11-17,Juros|Amortização,1.711609,CRI Bem Brasil,974,665,0.09029999999999999,1.362463283007841
2028-11-17,Juros|Amortização,0.898683,CRI Bem Brasil,1340,915,0.09029999999999999,0.6565665370114349
2028-10-17,Juros|Amortização,0.855799,CRI Bem Brasil,1309,894,0.09029999999999999,0.6297567440406224
2028-04-18,Juros|Amortização,1.883164,CRI Bem Brasil,1127,769,0.09029999999999999,1.4464825858742372
2025-08-18,Juros|Amortização,4.922438,CRI Bem Brasil,153,106,0.09029999999999999,4.746648702186169
2026-08-18,Juros|Amortização,3.937948,CRI Bem Brasil,518,356,0.09029999999999999,3.4852086670503564
2028-12-18,Juros|Amortização,0.855799,CRI Bem Brasil,1371,935,0.09029999999999999,0.6209607507559363
2027-01-18,Juros|Amortização,2.696072,CRI Bem Brasil,671,457,0.09029999999999999,2.3048469455019815
2028-01-18,Juros|Amortização,1.968968,CRI Bem Brasil,1036,707,0.09029999999999999,1.5449030663503134
2028-07-18,Juros|Amortização,1.797377,CRI Bem Brasil,1218,831,0.09029999999999999,1.3515332525310704
2029-06-18,Juros|Amortização,0.941576,CRI Bem Brasil,1553,1057,0.09029999999999999,0.6551952169959316
2026-05-18,Juros|Amortização,3.423229,CRI Bem Brasil,426,291,0.09029999999999999,3.097984554612318
2027-05-18,Juros|Amortização,2.696072,CRI Bem Brasil,791,539,0.09029999999999999,2.240911668529924
2025-11-18,Juros|Amortização,3.937948,CRI Bem Brasil,245,172,0.09029999999999999,3.712302295269489
2027-10-18,Juros|Amortização,1.797377,CRI Bem Brasil,944,645,0.09029999999999999,1.4405862594474634
2028-09-18,Juros|Amortização,206.245061,CRI Bem Brasil,1280,874,0.09029999999999999,152.8144602385914
2029-09-18,Juros|Amortização,205.30102,CRI Bem Brasil,1645,1122,0.09029999999999999,139.7082195584073
2026-02-19,Juros|Amortização,3.76634,CRI Bem Brasil,338,232,0.09029999999999999,3.4781904057457402
2028-06-19,Juros|Amortização,1.968968,CRI Bem Brasil,1189,810,0.09029999999999999,1.4912657643860554
2025-04-30,Juros|Amortização,727.2261440000001,BRFS31,43,30,0.114221,717.9226535123728
2026-04-30,Juros|Amortização,709.233182,BRFS31,408,280,0.114221,628.9247256943614
2025-10-30,Juros|Amortização,19.198995,BRFS31,226,159,0.114221,17.93254036345194
