DATA,Tipo,Spread,Data_Str,Color
2024-10-28,Spread B25/DAP25,0.0022999999999999687,2024-10-28,#003366
2024-10-29,Spread B25/DAP25,0.029000000000000803,2024-10-29,#003366
2024-10-30,Spread B25/DAP25,0.0038000000000000256,2024-10-30,#003366
2024-10-31,Spread B25/DAP25,0.030899999999999928,2024-10-31,#003366
2024-11-05,Spread B25/DAP25,0.039400000000000546,2024-11-05,#003366
2024-11-08,Spread B25/DAP25,0.12330000000000041,2024-11-08,#003366
2024-11-11,Spread B25/DAP25,0.023399999999999643,2024-11-11,#003366
2024-11-12,Spread B25/DAP25,0.00849999999999973,2024-11-12,#003366
2024-11-14,Spread B25/DAP25,0.025500000000000078,2024-11-14,#003366
2024-11-18,Spread B25/DAP25,-0.0378999999999996,2024-11-18,#003366
2024-11-21,Spread B25/DAP25,0.03049999999999997,2024-11-21,#003366
2024-11-22,Spread B25/DAP25,-0.006199999999999761,2024-11-22,#003366
2024-11-25,Spread B25/DAP25,0.0031999999999996476,2024-11-25,#003366
2024-11-27,Spread B25/DAP25,-0.014000000000000234,2024-11-27,#003366
2024-12-03,Spread B25/DAP25,-0.0026999999999999247,2024-12-03,#003366
2024-12-04,Spread B25/DAP25,-0.03939999999999966,2024-12-04,#003366
2024-12-05,Spread B25/DAP25,-0.1388000000000007,2024-12-05,#003366
2024-12-06,Spread B25/DAP25,0.012100000000000222,2024-12-06,#003366
2024-12-09,Spread B25/DAP25,0.11030000000000051,2024-12-09,#003366
2024-12-11,Spread B25/DAP25,0.08169999999999966,2024-12-11,#003366
2025-01-08,Spread B25/DAP25,-0.06479999999999997,2025-01-08,#003366
2025-01-09,Spread B25/DAP25,-0.02629999999999999,2025-01-09,#003366
2025-01-13,Spread B25/DAP25,0.0517000000000003,2025-01-13,#003366
2025-01-14,Spread B25/DAP25,0.025900000000000034,2025-01-14,#003366
2025-01-15,Spread B25/DAP25,-0.14340000000000064,2025-01-15,#003366
2025-01-17,Spread B25/DAP25,-0.09590000000000032,2025-01-17,#003366
2025-01-20,Spread B25/DAP25,-0.09360000000000035,2025-01-20,#003366
2025-01-21,Spread B25/DAP25,-0.03330000000000055,2025-01-21,#003366
2025-01-22,Spread B25/DAP25,-0.056599999999999984,2025-01-22,#003366
2025-01-23,Spread B25/DAP25,-0.010000000000000231,2025-01-23,#003366
2025-01-24,Spread B25/DAP25,0.14319999999999977,2025-01-24,#003366
2025-01-27,Spread B25/DAP25,-0.020399999999999974,2025-01-27,#003366
2025-01-28,Spread B25/DAP25,-0.021500000000000075,2025-01-28,#003366
2025-01-29,Spread B25/DAP25,0.13680000000000003,2025-01-29,#003366
2025-01-30,Spread B25/DAP25,0.013099999999999667,2025-01-30,#003366
2025-01-31,Spread B25/DAP25,-0.060699999999999754,2025-01-31,#003366
2025-02-03,Spread B25/DAP25,0.04829999999999979,2025-02-03,#003366
2025-02-04,Spread B25/DAP25,-0.3009000000000004,2025-02-04,#003366
2025-02-05,Spread B25/DAP25,-0.11410000000000009,2025-02-05,#003366
2025-02-06,Spread B25/DAP25,-0.11550000000000038,2025-02-06,#003366
2025-02-07,Spread B25/DAP25,-0.10699999999999976,2025-02-07,#003366
2025-02-10,Spread B25/DAP25,-0.01399999999999979,2025-02-10,#003366
2025-02-11,Spread B25/DAP25,-0.01949999999999985,2025-02-11,#003366
2025-02-12,Spread B25/DAP25,-0.10000000000000009,2025-02-12,#003366
2025-02-13,Spread B25/DAP25,0.05469999999999997,2025-02-13,#003366
2025-02-17,Spread B25/DAP25,0.058499999999999996,2025-02-17,#003366
2025-02-21,Spread B25/DAP25,0.1966000000000001,2025-02-21,#003366
2025-02-24,Spread B25/DAP25,0.2280000000000002,2025-02-24,#003366
2025-02-25,Spread B25/DAP25,0.0024000000000001798,2025-02-25,#003366
2025-02-26,Spread B25/DAP25,0.1701999999999999,2025-02-26,#003366
2025-02-27,Spread B25/DAP25,0.12480000000000002,2025-02-27,#003366
2025-02-28,Spread B25/DAP25,0.06849999999999978,2025-02-28,#003366
2025-03-06,Spread B25/DAP25,0.1606999999999994,2025-03-06,#003366
2025-03-07,Spread B25/DAP25,-0.3506,2025-03-07,#003366
2025-03-10,Spread B25/DAP25,0.05080000000000062,2025-03-10,#003366
2025-03-11,Spread B25/DAP25,0.11489999999999956,2025-03-11,#003366
2025-03-12,Spread B25/DAP25,0.09140000000000015,2025-03-12,#003366
2025-03-13,Spread B25/DAP25,-0.10820000000000007,2025-03-13,#003366
2025-03-14,Spread B25/DAP25,0.27970000000000006,2025-03-14,#003366
2025-03-17,Spread B25/DAP25,0.07000000000000028,2025-03-17,#003366
